year,hires,terminations,net_change,net_change_percent
2000,211,26,185,87.68
2001,1082,197,885,81.79
2002,1012,162,850,83.99
2003,1088,198,890,81.80
2004,1087,206,881,81.05
2005,1038,200,838,80.73
2006,1069,204,865,80.92
2007,1058,160,898,84.88
2008,1061,159,902,85.01
2009,1094,166,928,84.83
2010,1050,148,902,85.90
2011,1057,132,925,87.51
2012,1059,129,930,87.82
2013,1042,112,930,89.25
2014,1014,107,907,89.45
2015,1011,104,907,89.71
2016,1076,90,986,91.64
2017,1043,72,971,93.10
2018,1090,69,1021,93.67
2019,1038,66,972,93.64
2020,967,51,916,94.73
